Nombre del Cliente;Número de Identificación;Dirección;Teléfono;Correo Electrónico;;ID de la Transacción;Fecha y Hora de la Transacción;Monto de la Transacción;Estado de la Transacción;Tipo de Transacción;Plataforma Utilizada;;Número de Factura;Periodo de Facturación;Monto Facturado;Monto Pagado
Angel Daniel;149186547;"USNS Davis
FPO AP 78518";(873)222-2692x09480;rmiller@boyer.com;;TXN001;01/06/2024 10:00;38940;Pendiente;Pago de Factura;Nequi;;FAC7068;2024-06;39940;0
Matthew Wilson;475925688;"42023 Barrett Path Suite 281
Jeremyborough, OH 72889";(264)225-7425;matthew15@ramirez.com;;TXN002;09/07/2024 12:00;75145;Pendiente;Pago de Factura;Daviplata;;FAC6577;2024-06;76145;75145
Jennifer Phelps;112231541;"392 Smith Corners Apt. 737
East Angeltown, MO 64086";2.486.952.117;echristian@hotmail.com;;TXN003;13/06/2024 10:00;179217;Fallida;Pago de Factura;Daviplata;;FAC5707;2024-06;179217;179217
Jonathan Cook;708283326;"657 Landry Way Suite 966
Robinsonfurt, CA 22461";756633727;zjones@yahoo.com;;TXN004;26/07/2024 13:00;51767;Fallida;Pago de Factura;Daviplata;;FAC7188;2024-07;52267;51767
Lindsay Garcia;959234562;"906 Justin Locks Apt. 838
Port Timothyview, AR 68865";001-158-358-0277;juliamatthews@carpenter.com;;TXN005;28/07/2024 6:00;156501;Completada;Pago de Factura;Daviplata;;FAC7289;2024-06;157001;156501
Eric Klein;243553915;"0571 Carroll Cliffs
Davisstad, WI 00721";9179003714;acostajoshua@hotmail.com;;TXN006;16/07/2024 21:00;32428;Completada;Pago de Factura;Nequi;;FAC2190;2024-07;33428;32428
Ashley Adams;7005498;"660 Marcus Camp Suite 262
Port Stevenmouth, NC 10819";(224)273-1751x2329;elambert@cook.info;;TXN007;26/07/2024 22:00;75301;Pendiente;Pago de Factura;Daviplata;;FAC6207;2024-07;75801;0
Meghan Nguyen;724330039;"259 Jared Manor
Brownville, AZ 52844";7.672.788.207;hhughes@randolph-ingram.com;;TXN008;17/06/2024 16:00;16870;Pendiente;Pago de Factura;Nequi;;FAC1691;2024-07;17870;16870
Ryan Richards;643387222;"695 Francis Cliffs
Port Bryantown, VT 33873";001-398-345-1521x215;phillipcarter@hotmail.com;;TXN009;10/07/2024 23:00;21794;Fallida;Pago de Factura;Nequi;;FAC4680;2024-06;22294;21794
Janice Alexander;215716832;"81268 Hamilton Fort
Fitzgeraldfort, ID 71489";+1-411-073-0697x704;matthew55@leach-blackburn.com;;TXN010;19/06/2024 23:00;193307;Completada;Pago de Factura;Daviplata;;FAC8010;2024-06;193307;0
Katherine Dunn;92651576;"837 Schneider Spur Suite 656
Darrellmouth, WI 33323";6081126986;golson@davis.info;;TXN011;01/06/2024 6:00;159093;Completada;Pago de Factura;Daviplata;;FAC1328;2024-07;159093;0
Brett Odom;724488250;"952 Barbara Turnpike
Jacquelinebury, MO 71346";5.507.250.901;colemanjames@chavez.info;;TXN012;12/07/2024 19:00;174518;Pendiente;Pago de Factura;Nequi;;FAC8140;2024-06;175018;0
Jenna Scott;265881315;"Unit 1694 Box 1865
DPO AE 26667";404-358-1223x371;rogerseric@hotmail.com;;TXN013;04/07/2024 12:00;110254;Fallida;Pago de Factura;Daviplata;;FAC4679;2024-07;110754;0
Andrew Johns;401149568;"62457 Booth Mews Apt. 453
Lake Vincentport, DE 49208";894-499-5852x2479;lorinelson@hotmail.com;;TXN014;12/07/2024 4:00;162283;Pendiente;Pago de Factura;Nequi;;FAC3589;2024-06;163283;0
Christine Curtis;778029406;"2480 Jesse Unions Suite 534
East Antonioshire, MS 71510";554.861.0493x592;christopherferguson@acevedo-robertson.info;;TXN015;21/06/2024 12:00;22161;Pendiente;Pago de Factura;Daviplata;;FAC6122;2024-07;22161;22161
Madison Jones;307805784;"USNS Ferguson
FPO AP 50263";1.497.665.747;wattsdavid@morgan-wheeler.com;;TXN016;08/07/2024 12:00;195775;Pendiente;Pago de Factura;Daviplata;;FAC4870;2024-07;196275;195775
Tracy Simmons;484837788;"76775 Jennifer Orchard Apt. 758
Port Lance, NH 53890";383343588;bryan30@williams.com;;TXN017;27/06/2024 3:00;20824;Fallida;Pago de Factura;Nequi;;FAC5322;2024-06;20824;20824
Shelby Wolf;962795476;"613 Billy Radial Suite 171
South Benjamin, WY 15230";7506854443;daniel46@gmail.com;;TXN018;09/07/2024 5:00;191134;Completada;Pago de Factura;Nequi;;FAC8663;2024-07;191634;0
